FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
31,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85223,37.72071 140.85223,37.71787 140.85582,37.71787 140.85582,37.72071</coordinates></LinearRing></outerBoundaryIs></Polygon>",45,福島県,,南相馬市,2017/07/15 23:27:05,2017/07/15 23:35:52,0.28067,94
32,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.68091 140.85582,37.67806 140.85942,37.67806 140.85942,37.68091</coordinates></LinearRing></outerBoundaryIs></Polygon>",33,福島県,,南相馬市,2017/08/06 01:04:47,2017/08/06 01:23:04,0.33424,184
33,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.72071 140.85582,37.71787 140.85942,37.71787 140.85942,37.72071</coordinates></LinearRing></outerBoundaryIs></Polygon>",50,福島県,,南相馬市,2017/07/15 23:26:31,2017/07/15 23:36:24,0.26160,92
34,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85942,37.67806 140.85942,37.67522 140.86301,37.67522 140.86301,37.67806</coordinates></LinearRing></outerBoundaryIs></Polygon>",41,福島県,,南相馬市,2017/08/06 01:04:07,2017/08/06 01:23:33,0.35878,192
35,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85942,37.68091 140.85942,37.67806 140.86301,37.67806 140.86301,37.68091</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/08/06 01:04:44,2017/08/06 01:23:08,0.30667,182
36,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85942,37.72071 140.85942,37.71787 140.86301,37.71787 140.86301,37.72071</coordinates></LinearRing></outerBoundaryIs></Polygon>",40,福島県,,南相馬市,2017/07/15 23:26:06,2017/07/15 23:36:48,0.29575,90
37,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85942,37.72355 140.85942,37.72071 140.86301,37.72071 140.86301,37.72355</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,,南相馬市,2017/07/15 23:26:05,2017/07/15 23:36:51,0.18667,87
38,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86301,37.67238 140.86301,37.66953 140.86660,37.66953 140.86660,37.67238</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/08/06 01:03:26,2017/08/06 01:24:04,0.27667,140
39,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86301,37.67522 140.86301,37.67238 140.86660,37.67238 140.86660,37.67522</coordinates></LinearRing></outerBoundaryIs></Polygon>",37,福島県,,南相馬市,2017/08/06 01:03:30,2017/08/06 01:24:00,0.34081,158
40,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86301,37.67806 140.86301,37.67522 140.86660,37.67522 140.86660,37.67806</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/08/06 01:04:03,2017/08/06 01:23:37,0.35857,176
